[PARAMETER],,
VERSION=0.0.1,,
[TESTORDER],,
SampleId;SampleType;SamplePos;Technology;MethodName;TestName;CarrierPos;ConjName;ConjPos;DevName;DevPos;AssayScript;CustomRunId;GroupId;CmrTestId;PreDilutionFactor,,
DarkBlank;1000;;1;;;;;;;;;;;;,,
RinseBlank;1001;;1;;;;;;;;;;;;,,
ReagentBlankEliA;1002;;2;;;;;;;FS_B1,C1_1;;;;;,
Dummy;;;1;;;;;;;;;;;;,,
Sample1_01;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_02;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_03;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_04;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_05;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_06;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_07;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_08;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_09;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_10;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_11;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_12;1;SS_A_1;2;EL-G;Gcal;R1_A1;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_13;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_14;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_15;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_16;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_17;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_18;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_19;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_20;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_21;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_22;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_23;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_24;1;SS_A_1;2;EL-G;Gcal;R1_A2;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
Sample1_25;1;SS_A_1;2;EL-G;Gcal;R1_A3;;FS_B1,C3_2;;FS_B1,C1_1;;;;;
